country_name_short,country_name,election_type,election_date,vote_share,seats,seats_total,party_name_short,party_name,party_name_english,left_right,country_id,election_id,previous_parliament_election_id,previous_cabinet_id,party_id
AUS,Australia,parliament,1946-09-28,49.7,43.0,75,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,739,737.0,574.0,1253
AUS,Australia,parliament,1946-09-28,28.6,15.0,75,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,739,737.0,574.0,1411
AUS,Australia,parliament,1946-09-28,10.7,12.0,75,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,739,737.0,574.0,184
AUS,Australia,parliament,1946-09-28,2.3,2.0,75,none,no party affiliation,no party affiliation,,33,739,737.0,574.0,1396
AUS,Australia,parliament,1946-09-28,4.4,2.0,75,LCL,Liberal and Country League,Liberal and Country League,3.3,33,739,737.0,574.0,1919
AUS,Australia,parliament,1946-09-28,1.6,1.0,75,LLP,Lang Labour Party,Lang Labour Party,3.3,33,739,737.0,574.0,303
AUS,Australia,parliament,1946-09-28,1.2,0.0,75,SPA,Services Party of Australia,Services Party of Australia,,33,739,737.0,574.0,1897
AUS,Australia,parliament,1946-09-28,1.5,0.0,75,CPA,Communist Party of Australia,Communist Party of Australia,1.3,33,739,737.0,574.0,1922
AUS,Australia,parliament,1949-12-10,39.3,55.0,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,734,739.0,490.0,1411
AUS,Australia,parliament,1949-12-10,46.0,48.0,123,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,734,739.0,490.0,1253
AUS,Australia,parliament,1949-12-10,10.8,19.0,123,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,734,739.0,490.0,184
AUS,Australia,parliament,1949-12-10,3.9,1.0,123,none,no party affiliation,no party affiliation,,33,734,739.0,490.0,1396
AUS,Australia,parliament,1951-04-28,47.7,54.0,123,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,763,734.0,450.0,1253
AUS,Australia,parliament,1951-04-28,40.5,52.0,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,763,734.0,450.0,1411
AUS,Australia,parliament,1951-04-28,9.7,17.0,123,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,763,734.0,450.0,184
AUS,Australia,parliament,1951-04-28,2.1,0.0,123,none,no party affiliation,no party affiliation,,33,763,734.0,450.0,1396
AUS,Australia,parliament,1954-05-29,50.1,59.0,123,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,743,763.0,566.0,1253
AUS,Australia,parliament,1954-05-29,38.5,47.0,123,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,743,763.0,566.0,1411
AUS,Australia,parliament,1954-05-29,8.5,17.0,123,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,743,763.0,566.0,184
AUS,Australia,parliament,1954-05-29,2.9,0.0,123,none,no party affiliation,no party affiliation,,33,743,763.0,566.0,1396
AUS,Australia,parliament,1955-12-10,39.7,57.0,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,742,743.0,178.0,1411
AUS,Australia,parliament,1955-12-10,44.7,49.0,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,742,743.0,178.0,1253
AUS,Australia,parliament,1955-12-10,7.9,18.0,124,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,742,743.0,178.0,184
AUS,Australia,parliament,1955-12-10,5.1,0.0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,742,743.0,178.0,1306
AUS,Australia,parliament,1955-12-10,2.6,0.0,124,none,no party affiliation,no party affiliation,,33,742,743.0,178.0,1396
AUS,Australia,parliament,1958-11-22,37.1,58.0,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,749,742.0,479.0,1411
AUS,Australia,parliament,1958-11-22,42.9,47.0,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,749,742.0,479.0,1253
AUS,Australia,parliament,1958-11-22,9.3,19.0,124,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,749,742.0,479.0,184
AUS,Australia,parliament,1958-11-22,9.4,0.0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,749,742.0,479.0,1306
AUS,Australia,parliament,1958-11-22,1.3,0.0,124,none,no party affiliation,no party affiliation,,33,749,742.0,479.0,1396
AUS,Australia,parliament,1961-12-09,48.0,62.0,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,740,749.0,627.0,1253
AUS,Australia,parliament,1961-12-09,33.5,45.0,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,740,749.0,627.0,1411
AUS,Australia,parliament,1961-12-09,8.5,17.0,124,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,740,749.0,627.0,184
AUS,Australia,parliament,1961-12-09,8.7,0.0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,740,749.0,627.0,1306
AUS,Australia,parliament,1961-12-09,1.4,0.0,124,none,no party affiliation,no party affiliation,,33,740,749.0,627.0,1396
AUS,Australia,parliament,1963-11-30,37.1,52.0,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,741,740.0,288.0,1411
AUS,Australia,parliament,1963-11-30,45.5,52.0,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,741,740.0,288.0,1253
AUS,Australia,parliament,1963-11-30,8.9,20.0,124,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,741,740.0,288.0,184
AUS,Australia,parliament,1963-11-30,7.4,0.0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,741,740.0,288.0,1306
AUS,Australia,parliament,1963-11-30,1.0,0.0,124,none,no party affiliation,no party affiliation,,33,741,740.0,288.0,1396
AUS,Australia,parliament,1966-11-26,40.1,61.0,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,764,741.0,261.0,1411
AUS,Australia,parliament,1966-11-26,40.0,41.0,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,764,741.0,261.0,1253
AUS,Australia,parliament,1966-11-26,9.8,21.0,124,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,764,741.0,261.0,184
AUS,Australia,parliament,1966-11-26,2.7,1.0,124,none,no party affiliation,no party affiliation,,33,764,741.0,261.0,1396
AUS,Australia,parliament,1966-11-26,7.3,0.0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,764,741.0,261.0,1306
AUS,Australia,parliament,1969-10-25,47.0,59.0,125,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,735,764.0,795.0,1253
AUS,Australia,parliament,1969-10-25,34.8,46.0,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,735,764.0,795.0,1411
AUS,Australia,parliament,1969-10-25,8.6,20.0,125,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,735,764.0,795.0,184
AUS,Australia,parliament,1969-10-25,2.8,0.0,125,none,no party affiliation,no party affiliation,,33,735,764.0,795.0,1396
AUS,Australia,parliament,1969-10-25,6.0,0.0,125,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,735,764.0,795.0,1306
AUS,Australia,parliament,1972-12-02,49.6,67.0,125,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,759,735.0,671.0,1253
AUS,Australia,parliament,1972-12-02,32.0,38.0,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,759,735.0,671.0,1411
AUS,Australia,parliament,1972-12-02,9.4,20.0,125,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,759,735.0,671.0,184
AUS,Australia,parliament,1972-12-02,5.2,0.0,125,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,759,735.0,671.0,1306
AUS,Australia,parliament,1972-12-02,2.4,0.0,125,AP,Australia Party,Australia Party,6.0,33,759,735.0,671.0,1760
AUS,Australia,parliament,1972-12-02,1.3,0.0,125,none,no party affiliation,no party affiliation,,33,759,735.0,671.0,1396
AUS,Australia,parliament,1974-05-18,49.3,66.0,127,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,758,759.0,507.0,1253
AUS,Australia,parliament,1974-05-18,34.9,40.0,127,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,758,759.0,507.0,1411
AUS,Australia,parliament,1974-05-18,10.8,21.0,127,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,758,759.0,507.0,184
AUS,Australia,parliament,1974-05-18,1.4,0.0,127,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,758,759.0,507.0,1306
AUS,Australia,parliament,1974-05-18,2.3,0.0,127,AP,Australia Party,Australia Party,6.0,33,758,759.0,507.0,1760
AUS,Australia,parliament,1975-12-13,41.8,68.0,127,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,757,758.0,720.0,1411
AUS,Australia,parliament,1975-12-13,42.8,36.0,127,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,757,758.0,720.0,1253
AUS,Australia,parliament,1975-12-13,11.0,22.0,127,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,757,758.0,720.0,184
AUS,Australia,parliament,1975-12-13,0.2,1.0,127,CouLP,Country Liberal Party,Country Liberal Party,6.0,33,757,758.0,720.0,215
AUS,Australia,parliament,1975-12-13,1.7,0.0,127,none,no party affiliation,no party affiliation,,33,757,758.0,720.0,1396
AUS,Australia,parliament,1975-12-13,1.3,0.0,127,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,757,758.0,720.0,1306
AUS,Australia,parliament,1977-12-10,38.1,67.0,124,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,755,757.0,836.0,1411
AUS,Australia,parliament,1977-12-10,39.6,38.0,124,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,755,757.0,836.0,1253
AUS,Australia,parliament,1977-12-10,9.8,18.0,124,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,755,757.0,836.0,184
AUS,Australia,parliament,1977-12-10,0.2,1.0,124,CouLP,Country Liberal Party,Country Liberal Party,6.0,33,755,757.0,836.0,215
AUS,Australia,parliament,1977-12-10,1.4,0.0,124,none,no party affiliation,no party affiliation,,33,755,757.0,836.0,1396
AUS,Australia,parliament,1977-12-10,1.4,0.0,124,DLP,Democratic Labour Party,Democratic Labour Party,4.1667,33,755,757.0,836.0,1306
AUS,Australia,parliament,1977-12-10,9.4,0.0,124,AD,Australian Democrats,Australian Democrats,3.7004,33,755,757.0,836.0,120
AUS,Australia,parliament,1980-10-18,37.4,54.0,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,736,755.0,421.0,1411
AUS,Australia,parliament,1980-10-18,45.1,51.0,125,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,736,755.0,421.0,1253
AUS,Australia,parliament,1980-10-18,8.9,20.0,125,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,736,755.0,421.0,184
AUS,Australia,parliament,1980-10-18,1.7,0.0,125,none,no party affiliation,no party affiliation,,33,736,755.0,421.0,1396
AUS,Australia,parliament,1980-10-18,6.6,0.0,125,AD,Australian Democrats,Australian Democrats,3.7004,33,736,755.0,421.0,120
AUS,Australia,parliament,1983-03-05,49.5,75.0,125,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,751,736.0,774.0,1253
AUS,Australia,parliament,1983-03-05,34.4,33.0,125,LPA,Liberal Party of Australia,Liberal Party of Australia,7.3903,33,751,736.0,774.0,1411
AUS,Australia,parliament,1983-03-05,9.0,17.0,125,NCP|NPA,National (Country) Party | National Party of Australia,National (Country) Party | National Party of Australia,7.8222,33,751,736.0,774.0,184
AUS,Australia,parliament,1983-03-05,5.0,0.0,125,AD,Australian Democrats,Australian Democrats,3.7004,33,751,736.0,774.0,120
AUS,Australia,parliament,1983-03-05,1.7,0.0,125,none,no party affiliation,no party affiliation,,33,751,736.0,774.0,1396
AUS,Australia,parliament,1984-12-01,47.5,82.0,148,ALP,Australian Labor Party,Australian Labor Party,3.8833,33,733,751.0,576.0,1253
